Date,Site,Researchers,Analyzer,Tree_Tag,UniqueID,Species,Height_m,Type,DBH_cm,Distance_cm,Air_Temp_C,Humidity_RH,Soil_Temp_C,VWC_1,VWC_2,VWC_3,Stem_Temp_C,ChamberID,Vol_L,comp_start_time,start_time,comp_end_time,Notes
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 10.5 stem 1,bg,11.7,stem,15,0,26.1,73.3,na,na,na,na,27.7,C5,0.76,11:46:45,11:10:00,11:56:45,
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 10.5 stem 2,bg,11.7,stem,15,0,26.1,73.3,na,na,na,na,27.7,C5,0.76,12:00:00,na,12:08:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 10.5 leaf 1,bg,11.7,leaf,na,na,26.1,73.3,na,na,na,na,27.7,leaf A,0.76,12:09:00,na,12:14:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 10.5 leaf 2,bg,11.7,leaf,na,na,27.9,65,na,na,na,na,27.7,leaf A,0.76,12:27:00,na,12:30:00,Leaf sample #3
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 11.7 stem 1,bg,11.7,leaf (shaded),na,na,27.9,65,na,na,na,na,27.7,leaf A,0.76,12:56:15,na,13:04:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 11.7 stem 2,bg,10.5,stem,15.5,0,26.1,73.3,na,na,na,na,24.8,C5,0.76,13:07:00,na,13:14:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 11.7 leaf 1,bg,10.5,stem,15.5,0,26.1,73.3,na,na,na,na,24.4,C5,0.76,13:15:00,na,13:19:00,
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 11.7 leaf 2,bg,10.5,leaf,na,90,26.1,73.3,na,na,na,na,24.4,leaf A,0.76,13:24:00,na,13:28:15,leaf sample #1
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 11.7 leaf_s 1,bg,10.5,leaf,na,180,26.1,73.3,na,na,na,na,27.7,leaf A,0.76,13:28:30,na,13:31:30,leaf sample #2
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 9.1 branch 1,bg,9.1,branch,8,15,29.5,62.3,na,na,na,na,26,Stem A,0.15,13:52:15,na,13:57:15,
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 9.1 leaf 1,bg,9.1,leaf,na,50,29.5,62.3,na,na,na,na,25.5,leaf A,0.76,14:01:30,na,14:06:30,Leaf sample #4
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 7 leaf 1,bg,7,leaf,na,100,28.6,63,na,na,na,na,25.6,leaf A,0.76,14:14:30,na,14:18:00,leaf sample #5
07-18-2023,Swamp Rd,HB JG NH,LGR #1,2,2 1.7 stem 1,bg,1.7,stem,30.5,0,26.4,76.7,na,na,na,na,25.5,C5,0.76,15:18:15,na,15:20:15,
