SN:3K60180500001585 BD:Jul 23 2018 VC:834b9c1 MD5:48f99e4865ed8b810be1bb0eaaabf929
SysTime,                      Time,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [H2Oa]_ppm,  [H2Oa]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
07/19/2023 15:56:50.485, 07/19/2023 15:56:50.433, 4.11830e+0, 0.00000e+0, 9.85240e+1, 0.00000e+0, 1.89524e+0, 0.00000e+0, 1.56352e+4, 0.00000e+0, 1.82812e+4, 0.00000e+0, 3.99714e+2, 0.00000e+0, 1.92534e+0, 0.00000e+0, 4.06063e+2, 0.00000e+0, 5.04024e+2, 0.00000e+0, 2.99362e+1, 0.00000e+0, 3.07056e+1, 0.00000e+0, 3.43479e+0, 0.00000e+0, 2.84301e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.50000e+1, 0.00000e+0, 2, -1, Disabled
07/19/2023 15:56:51.499, 07/19/2023 15:56:51.428, 4.11786e+0, 0.00000e+0, 9.85135e+1, 0.00000e+0, 1.89972e+0, 0.00000e+0, 1.68526e+4, 0.00000e+0, 1.94047e+4, 0.00000e+0, 4.01879e+2, 0.00000e+0, 1.93228e+0, 0.00000e+0, 4.08768e+2, 0.00000e+0, 5.04035e+2, 0.00000e+0, 2.99420e+1, 0.00000e+0, 3.07233e+1, 0.00000e+0, 3.43499e+0, 0.00000e+0, 2.84285e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.50000e+1, 0.00000e+0, 2, -1, Disabled
07/19/2023 15:56:52.469, 07/19/2023 15:56:52.423, 4.11774e+0, 0.00000e+0, 9.85104e+1, 0.00000e+0, 1.90528e+0, 0.00000e+0, 1.71164e+4, 0.00000e+0, 1.97088e+4, 0.00000e+0, 4.01947e+2, 0.00000e+0, 1.93846e+0, 0.00000e+0, 4.08946e+2, 0.00000e+0, 5.03962e+2, 0.00000e+0, 2.99346e+1, 0.00000e+0, 3.07359e+1, 0.00000e+0, 3.43526e+0, 0.00000e+0, 2.84091e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.50000e+1, 0.00000e+0, 2, -1, Disabled
07/19/2023 15:56:53.462, 07/19/2023 15:56:53.417, 4.11900e+0, 0.00000e+0, 9.85407e+1, 0.00000e+0, 1.90157e+0, 0.00000e+0, 1.74540e+4, 0.00000e+0, 2.00429e+4, 0.00000e+0, 4.03971e+2, 0.00000e+0, 1.93535e+0, 0.00000e+0, 4.11147e+2, 0.00000e+0, 5.03925e+2, 0.00000e+0, 2.99329e+1, 0.00000e+0, 3.07427e+1, 0.00000e+0, 3.43511e+0, 0.00000e+0, 2.84203e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.50000e+1, 0.00000e+0, 2, -1, Disabled
07/19/2023 15:56:54.458, 07/19/2023 15:56:54.412, 4.11880e+0, 0.00000e+0, 9.85358e+1, 0.00000e+0, 1.90573e+0, 0.00000e+0, 1.74975e+4, 0.00000e+0, 2.00943e+4, 0.00000e+0, 4.02603e+2, 0.00000e+0, 1.93966e+0, 0.00000e+0, 4.09773e+2, 0.00000e+0, 5.03965e+2, 0.00000e+0, 2.99387e+1, 0.00000e+0, 3.06914e+1, 0.00000e+0, 3.43553e+0, 0.00000e+0, 2.84117e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.50000e+1, 0.00000e+0, 2, -1, Disabled
07/19/2023 15:56:55.451, 07/19/2023 15:56:55.406, 4.11866e+0, 0.00000e+0, 9.85325e+1, 0.00000e+0, 1.91213e+0, 0.00000e+0, 1.71277e+4, 0.00000e+0, 1.95159e+4, 0.00000e+0, 4.02130e+2, 0.00000e+0, 1.94545e+0, 0.00000e+0, 4.09138e+2, 0.00000e+0, 5.04040e+2, 0.00000e+0, 2.99328e+1, 0.00000e+0, 3.07349e+1, 0.00000e+0, 3.43437e+0, 0.00000e+0, 2.84106e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.50000e+1, 0.00000e+0, 2, -1, Disabled
07/19/2023 15:56:56.447, 07/19/2023 15:56:56.401, 4.11798e+0, 0.00000e+0, 9.85163e+1, 0.00000e+0, 1.90950e+0, 0.00000e+0, 1.70983e+4, 0.00000e+0, 1.96881e+4, 0.00000e+0, 4.01855e+2, 0.00000e+0, 1.94272e+0, 0.00000e+0, 4.08846e+2, 0.00000e+0, 5.04019e+2, 0.00000e+0, 2.99308e+1, 0.00000e+0, 3.07364e+1, 0.00000e+0, 3.43488e+0, 0.00000e+0, 2.84220e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.50000e+1, 0.00000e+0, 2, -1, Disabled
07/19/2023 15:56:57.441, 07/19/2023 15:56:57.396, 4.11871e+0, 0.00000e+0, 9.85336e+1, 0.00000e+0, 1.90341e+0, 0.00000e+0, 1.74974e+4, 0.00000e+0, 1.99746e+4, 0.00000e+0, 4.01941e+2, 0.00000e+0, 1.93731e+0, 0.00000e+0, 4.09099e+2, 0.00000e+0, 5.03922e+2, 0.00000e+0, 2.99354e+1, 0.00000e+0, 3.07433e+1, 0.00000e+0, 3.43482e+0, 0.00000e+0, 2.84138e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.50000e+1, 0.00000e+0, 2, -1, Disabled
07/19/2023 15:56:58.438, 07/19/2023 15:56:58.390, 4.11886e+0, 0.00000e+0, 9.85374e+1, 0.00000e+0, 1.90347e+0, 0.00000e+0, 1.69612e+4, 0.00000e+0, 1.94629e+4, 0.00000e+0, 4.74480e+2, 0.00000e+0, 1.93631e+0, 0.00000e+0, 4.82667e+2, 0.00000e+0, 5.03940e+2, 0.00000e+0, 2.99371e+1, 0.00000e+0, 3.07250e+1, 0.00000e+0, 3.43455e+0, 0.00000e+0, 2.84090e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.50000e+1, 0.00000e+0, 2, -1, Disabled
07/19/2023 15:56:59.428, 07/19/2023 15:56:59.384, 4.11911e+0, 0.00000e+0, 9.85433e+1, 0.00000e+0, 1.90239e+0, 0.00000e+0, 1.72802e+4, 0.00000e+0, 1.99449e+4, 0.00000e+0, 1.07259e+3, 0.00000e+0, 1.93584e+0, 0.00000e+0, 1.09146e+3, 0.00000e+0, 5.03986e+2, 0.00000e+0, 2.99378e+1, 0.00000e+0, 3.06944e+1, 0.00000e+0, 3.43370e+0, 0.00000e+0, 2.84037e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.50000e+1, 0.00000e+0, 2, -1, Disabled
