SN:3K60180500001584 BD:Jul 23 2018 VC:834b9c1 MD5:48f99e4865ed8b810be1bb0eaaabf929
SysTime,                      Time,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
08/16/2023 15:35:26.401, 08/16/2023 15:35:26.340, 4.15677e+0, 0.00000e+0, -2.11550e+2, 0.00000e+0, 1.97096e+0, 0.00000e+0, 1.64055e+4, 0.00000e+0, 4.10242e+2, 0.00000e+0, 1.00192e+0, 0.00000e+0, 2.08542e+2, 0.00000e+0, 4.75699e+2, 0.00000e+0, 2.90606e+1, 0.00000e+0, 2.91126e+1, 0.00000e+0, 3.81087e+0, 0.00000e+0, 3.29251e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
08/16/2023 15:35:27.412, 08/16/2023 15:35:27.334, 4.15675e+0, 0.00000e+0, 9.77311e+1, 0.00000e+0, 1.98164e+0, 0.00000e+0, 1.76738e+4, 0.00000e+0, 4.15246e+2, 0.00000e+0, 2.01729e+0, 0.00000e+0, 4.22717e+2, 0.00000e+0, 4.75800e+2, 0.00000e+0, 2.90598e+1, 0.00000e+0, 2.91002e+1, 0.00000e+0, 3.81099e+0, 0.00000e+0, 3.29256e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
08/16/2023 15:35:28.387, 08/16/2023 15:35:28.328, 4.15689e+0, 0.00000e+0, 9.77509e+1, 0.00000e+0, 1.98212e+0, 0.00000e+0, 1.78094e+4, 0.00000e+0, 4.13952e+2, 0.00000e+0, 2.01806e+0, 0.00000e+0, 4.21458e+2, 0.00000e+0, 4.75807e+2, 0.00000e+0, 2.90592e+1, 0.00000e+0, 2.90951e+1, 0.00000e+0, 3.81101e+0, 0.00000e+0, 3.29300e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
08/16/2023 15:35:29.380, 08/16/2023 15:35:29.323, 4.15694e+0, 0.00000e+0, 9.77595e+1, 0.00000e+0, 1.97929e+0, 0.00000e+0, 1.79019e+4, 0.00000e+0, 4.12518e+2, 0.00000e+0, 2.01537e+0, 0.00000e+0, 4.20037e+2, 0.00000e+0, 4.75769e+2, 0.00000e+0, 2.90575e+1, 0.00000e+0, 2.90827e+1, 0.00000e+0, 3.81007e+0, 0.00000e+0, 3.29287e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
08/16/2023 15:35:30.374, 08/16/2023 15:35:30.317, 4.15687e+0, 0.00000e+0, 9.77490e+1, 0.00000e+0, 1.98203e+0, 0.00000e+0, 1.85595e+4, 0.00000e+0, 4.13254e+2, 0.00000e+0, 2.01951e+0, 0.00000e+0, 4.21068e+2, 0.00000e+0, 4.75801e+2, 0.00000e+0, 2.90587e+1, 0.00000e+0, 2.90784e+1, 0.00000e+0, 3.81148e+0, 0.00000e+0, 3.29317e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
08/16/2023 15:35:31.363, 08/16/2023 15:35:31.312, 4.15680e+0, 0.00000e+0, 9.77375e+1, 0.00000e+0, 1.98281e+0, 0.00000e+0, 1.84067e+4, 0.00000e+0, 4.11497e+2, 0.00000e+0, 2.01999e+0, 0.00000e+0, 4.19213e+2, 0.00000e+0, 4.75857e+2, 0.00000e+0, 2.90581e+1, 0.00000e+0, 2.90715e+1, 0.00000e+0, 3.81156e+0, 0.00000e+0, 3.29306e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
08/16/2023 15:35:32.366, 08/16/2023 15:35:32.307, 4.15676e+0, 0.00000e+0, 9.77326e+1, 0.00000e+0, 1.98345e+0, 0.00000e+0, 1.90343e+4, 0.00000e+0, 4.13038e+2, 0.00000e+0, 2.02193e+0, 0.00000e+0, 4.21052e+2, 0.00000e+0, 4.75789e+2, 0.00000e+0, 2.90557e+1, 0.00000e+0, 2.90748e+1, 0.00000e+0, 3.81121e+0, 0.00000e+0, 3.29325e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
08/16/2023 15:35:33.360, 08/16/2023 15:35:33.301, 4.15684e+0, 0.00000e+0, 9.77433e+1, 0.00000e+0, 1.98439e+0, 0.00000e+0, 1.90878e+4, 0.00000e+0, 4.12937e+2, 0.00000e+0, 2.02300e+0, 0.00000e+0, 4.20972e+2, 0.00000e+0, 4.75891e+2, 0.00000e+0, 2.90558e+1, 0.00000e+0, 2.90768e+1, 0.00000e+0, 3.81139e+0, 0.00000e+0, 3.29267e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
08/16/2023 15:35:34.354, 08/16/2023 15:35:34.295, 4.15670e+0, 0.00000e+0, 9.77229e+1, 0.00000e+0, 1.98159e+0, 0.00000e+0, 1.96974e+4, 0.00000e+0, 4.14218e+2, 0.00000e+0, 2.02141e+0, 0.00000e+0, 4.22541e+2, 0.00000e+0, 4.75816e+2, 0.00000e+0, 2.90571e+1, 0.00000e+0, 2.90741e+1, 0.00000e+0, 3.81006e+0, 0.00000e+0, 3.29253e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
08/16/2023 15:35:35.344, 08/16/2023 15:35:35.291, 4.15680e+0, 0.00000e+0, 9.77380e+1, 0.00000e+0, 1.98334e+0, 0.00000e+0, 1.97966e+4, 0.00000e+0, 4.13982e+2, 0.00000e+0, 2.02339e+0, 0.00000e+0, 4.22343e+2, 0.00000e+0, 4.75804e+2, 0.00000e+0, 2.90572e+1, 0.00000e+0, 2.90739e+1, 0.00000e+0, 3.81064e+0, 0.00000e+0, 3.29273e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, 1, 
