"UniqueID","start.time","Area","Vtot","Tcham","Pcham"
"321071 0.5 stem 1",2023-08-16 14:06:00,210,0.859,17.1,101.5
"321071 0.5 stem 2",2023-08-16 14:41:50,210,0.859,17.3,101.6
"321071 1.25 stem 1",2023-08-16 14:47:06,210,0.859,17.3,101.6
"321071 1.25 stem 2",2023-08-16 14:51:47,210,0.859,17.3,101.6
"321071 2 stem 1",2023-08-16 14:58:57,210,0.859,17.4,101.6
"321071 2 stem 2",2023-08-16 15:06:48,210,0.859,17.4,101.6
"321071 4 stem 1",2023-08-16 15:42:37,210,0.859,17.7,101.6
"321071 4 stem 2",2023-08-16 15:51:17,210,0.859,17.7,101.6
"321071 6 stem 1",2023-08-16 16:00:20,210,0.859,17.8,101.6
"321071 6 stem 2",2023-08-16 16:08:32,210,0.859,17.9,101.6
"321071 16 stem 1",2023-08-17 09:32:56,38,0.219,17.6,101.7
"321071 16 stem 2",2023-08-17 09:37:57,38,0.219,17.6,101.7
"321071 16 leaf 1",2023-08-17 09:43:49,294.43,0.859,17.6,101.7
"321071 18 leaf 2",2023-08-17 10:01:25,694.35,2.399,17.5,101.7
"321071 18 stem 1",2023-08-17 10:11:02,38,0.219,17.5,101.7
"321071 18 stem 2",2023-08-17 10:23:23,38,0.219,17.5,101.8
"321071 22 stem 1",2023-08-17 10:47:10,38,0.219,17.5,101.8
"321071 22 stem 2",2023-08-17 10:52:26,38,0.219,17.5,101.8
"321071 22 leaf 1",2023-08-17 10:56:36,569.86,2.399,17.6,101.8
"321071 14 stem 1",2023-08-17 11:15:42,92,0.399,17.5,101.8
"321071 14 stem 2",2023-08-17 11:18:45,92,0.399,17.5,101.8
"321071 11 stem 1",2023-08-17 11:27:02,92,0.399,17.5,101.8
"321071 11 stem 2",2023-08-17 11:34:04,92,0.399,17.5,101.8
"321071 8 stem 1",2023-08-17 11:42:43,92,0.399,17.6,101.8
"321071 8 stem 2",2023-08-17 11:47:47,92,0.399,17.6,101.8
"321071 5 stem 1",2023-08-17 11:55:08,92,0.399,17.6,101.8
"321071 5 stem 2",2023-08-17 12:01:53,92,0.399,17.6,101.8
"321071 5 stem 3",2023-08-17 12:06:03,92,0.399,17.6,101.8
"321071 1.25 stem 3",2023-08-17 12:38:18,210,0.859,18,101.8
"321071 2 stem 3",2023-08-17 12:40:37,210,0.859,18,101.8
"321071 0.5 stem 3",2023-08-17 12:45:09,210,0.859,18,101.8
"321902 1.25 stem 1",2023-08-17 12:48:49,210,0.859,18,101.8
"321902 1.25 stem 2",2023-08-17 12:52:52,210,0.859,18.1,101.8
"321902 0.5 stem 1",2023-08-17 12:55:36,210,0.859,18.1,101.8
"321902 0.5 stem 2",2023-08-17 13:02:10,210,0.859,18.1,101.8
"321902 2 stem 1",2023-08-17 13:05:00,210,0.859,18.1,101.8
"321902 2 stem 2",2023-08-17 13:08:56,210,0.859,18,101.8
"321902 9 stem 1",2023-08-17 13:35:19,210,0.859,18.1,101.8
"321902 9 stem 2",2023-08-17 13:40:31,210,0.859,18.2,101.8
"321902 9 branch 1",2023-08-17 13:52:51,38,0.219,18.4,101.8
"321902 11 leaf 1",2023-08-17 14:02:46,334.84,2.399,18.4,101.8
"321902 15 stem 1",2023-08-17 14:16:03,210,0.859,18.4,101.8
"321902 15 stem 2",2023-08-17 14:22:24,210,0.859,18.4,101.8
"321902 15 branch 1",2023-08-17 14:27:50,38,0.219,18.5,101.8
"321902 15 leaf 1",2023-08-17 14:35:40,144.69,0.859,18.5,101.8
"321902 6 leaf 1",2023-08-17 14:47:58,105.35,0.859,18.9,101.8
"321902 6 stem 1",2023-08-17 14:53:21,210,0.859,19,101.8
"321902 6 stem 2",2023-08-17 15:00:13,210,0.859,19,101.8
"300607 16 stem 1",2023-08-17 15:36:59,38,0.219,19.9,101.8
"300607 16 stem 2",2023-08-17 15:42:07,38,0.219,20,101.8
"300607 16 leaf 1",2023-08-17 15:50:19,539.54,2.399,20,101.8
"300607 12 leaf 1",2023-08-17 16:00:10,674.83,2.399,20.3,101.8
"300607 12 stem 1",2023-08-17 16:05:33,92,0.399,20.3,101.8
"300607 12 stem 2",2023-08-17 16:09:29,92,0.399,20.2,101.8
"300607 9 stem 1",2023-08-17 16:18:19,92,0.399,20.2,101.8
"300607 9 stem 2",2023-08-17 16:22:15,92,0.399,20.2,101.8
"300607 8 leaf 1",2023-08-17 16:27:55,501.65,2.399,20.5,101.8
"300607 7 stem 1",2023-08-17 16:41:24,210,0.859,20.4,101.8
"300607 7 stem 2",2023-08-17 16:45:48,210,0.859,20.4,101.8
"300607 5 stem 1",2023-08-17 16:50:30,210,0.859,20.4,101.8
"300607 5 stem 2",2023-08-17 16:55:52,210,0.859,20.4,101.8
"300607 3 stem 1",2023-08-17 17:04:12,210,0.859,20.4,101.8
"300607 3 stem 2",2023-08-17 17:08:36,210,0.859,20.7,101.8
"300607 0.5 stem 1",2023-08-17 17:39:59,210,0.859,21.1,101.7
"300607 0.5 stem 2",2023-08-17 17:43:28,210,0.859,21.1,101.7
"300607 1.25 stem 1",2023-08-17 17:28:49,210,0.859,20.9,101.7
"300607 1.25 stem 2",2023-08-17 17:33:18,210,0.859,20.9,101.7
"300607 2 stem 1",2023-08-17 17:23:46,210,0.859,20.9,101.7
"300607 2 stem 2",2023-08-17 17:20:53,210,0.859,20.7,101.8
