"method","CO2_pct_above","CH4_pct_above","dataset"
"goFlux (manufacturer)",100,80.1,"Harvard Forest"
"Wassmann 99%",99.3,66.2,"Harvard Forest"
"Wassmann 95%",99.3,72.1,"Harvard Forest"
"Wassmann 90%",99.3,73.5,"Harvard Forest"
"Christiansen 99%",95.6,38.2,"Harvard Forest"
"Christiansen 95%",97.1,45.6,"Harvard Forest"
"Christiansen 90%",98.5,47.8,"Harvard Forest"
"goFlux (manufacturer)",100,77.8,"Yale-Myers Forest"
"Wassmann 99%",100,33.3,"Yale-Myers Forest"
"Wassmann 95%",100,33.3,"Yale-Myers Forest"
"Wassmann 90%",100,44.4,"Yale-Myers Forest"
"Christiansen 99%",88.9,11.1,"Yale-Myers Forest"
"Christiansen 95%",88.9,22.2,"Yale-Myers Forest"
"Christiansen 90%",88.9,33.3,"Yale-Myers Forest"
