SN:3K60180500001585 BD:Jul 23 2018 VC:834b9c1 MD5:48f99e4865ed8b810be1bb0eaaabf929
SysTime,                      Time,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [H2Oa]_ppm,  [H2Oa]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
10/04/2022 13:21:48.451, 10/04/2022 13:21:48.389, 4.11573e+0, 3.28131e-4, 9.84625e+1, 7.85001e-3, 1.91699e+0, 2.30079e-3, 5.09834e+3, 5.77409e+2, 1.45204e+4, 1.45128e+2, 6.56217e+2, 2.53880e+0, 1.92681e+0, 3.30700e-3, 6.59581e+2, 2.91032e+0, 5.06738e+2, 4.68058e-2, 2.25962e+1, 2.47235e-3, 2.72285e+1, 3.03842e-2, 3.72222e+0, 2.50173e-4, 3.03454e+0, 4.78684e-4, 2.00000e+1, 0.00000e+0, 1.70000e+1, 0.00000e+0, 2, -1, Disabled
10/04/2022 13:21:53.419, 10/04/2022 13:21:53.361, 4.11583e+0, 1.22651e-4, 9.84649e+1, 2.93423e-3, 1.91907e+0, 2.59749e-3, 6.86816e+3, 6.66294e+2, 1.46490e+4, 1.36157e+2, 6.61391e+2, 2.59301e+0, 1.93235e+0, 3.24208e-3, 6.65967e+2, 3.02206e+0, 5.06759e+2, 2.84053e-2, 2.25976e+1, 9.60794e-4, 2.72219e+1, 3.47351e-2, 3.72131e+0, 2.20162e-4, 3.03397e+0, 3.39365e-4, 2.00000e+1, 0.00000e+0, 1.70000e+1, 0.00000e+0, 2, -1, Disabled
10/04/2022 13:21:58.399, 10/04/2022 13:21:58.333, 4.11642e+0, 2.16596e-4, 9.84790e+1, 5.18172e-3, 1.92072e+0, 3.20114e-3, 8.63006e+3, 3.05520e+2, 1.48617e+4, 1.10130e+2, 6.65409e+2, 1.20675e-1, 1.93744e+0, 3.74971e-3, 6.71202e+2, 3.06564e-1, 5.06727e+2, 4.58380e-2, 2.25999e+1, 5.74263e-4, 2.71714e+1, 1.04834e-2, 3.72073e+0, 1.01248e-3, 3.03410e+0, 2.24262e-4, 2.00000e+1, 0.00000e+0, 1.70000e+1, 0.00000e+0, 3, -1, Disabled
10/04/2022 13:22:03.368, 10/04/2022 13:22:03.306, 4.11652e+0, 1.82466e-4, 9.84812e+1, 4.36521e-3, 1.92085e+0, 2.44201e-3, 8.27411e+3, 6.93700e+2, 1.48073e+4, 1.01130e+2, 6.67254e+2, 1.00577e+0, 1.93688e+0, 3.66876e-3, 6.72822e+2, 1.43091e+0, 5.06746e+2, 5.71595e-2, 2.26009e+1, 6.96242e-4, 2.71497e+1, 1.41325e-2, 3.72061e+0, 6.54709e-4, 3.03358e+0, 3.02823e-4, 2.00000e+1, 0.00000e+0, 1.70000e+1, 0.00000e+0, 3, -1, Disabled
10/04/2022 13:22:08.355, 10/04/2022 13:22:08.278, 4.11677e+0, 1.78654e-4, 9.84872e+1, 4.27401e-3, 1.92281e+0, 3.93765e-3, 1.02250e+4, 2.28980e+2, 1.48542e+4, 1.28278e+2, 6.70867e+2, 1.68697e+0, 1.94268e+0, 4.23323e-3, 6.77797e+2, 1.75006e+0, 5.06793e+2, 2.63040e-2, 2.26005e+1, 9.57705e-4, 2.71132e+1, 3.44961e-2, 3.72074e+0, 6.16978e-4, 3.03358e+0, 3.33671e-4, 2.00000e+1, 0.00000e+0, 1.70000e+1, 0.00000e+0, 3, -1, Disabled
10/04/2022 13:22:13.305, 10/04/2022 13:22:13.251, 4.11703e+0, 1.45760e-4, 9.84937e+1, 3.48707e-3, 1.92238e+0, 2.85063e-3, 1.07469e+4, 2.76119e+2, 1.48984e+4, 1.42436e+2, 6.73009e+2, 5.32483e-1, 1.94326e+0, 3.28858e-3, 6.80321e+2, 6.96821e-1, 5.06782e+2, 4.75633e-2, 2.26008e+1, 1.00091e-3, 2.70994e+1, 2.52413e-2, 3.71991e+0, 8.03460e-4, 3.03360e+0, 2.66655e-4, 2.00000e+1, 0.00000e+0, 1.70000e+1, 0.00000e+0, 3, -1, Disabled
10/04/2022 13:22:18.275, 10/04/2022 13:22:18.225, 4.11683e+0, 2.01698e-4, 9.84888e+1, 4.82530e-3, 1.92458e+0, 3.68478e-3, 1.12407e+4, 1.81654e+2, 1.49123e+4, 8.82667e+1, 6.75544e+2, 8.36025e-1, 1.94646e+0, 3.78077e-3, 6.83224e+2, 9.44153e-1, 5.06768e+2, 5.79216e-2, 2.25995e+1, 1.02851e-3, 2.70829e+1, 1.68162e-2, 3.71951e+0, 6.62346e-4, 3.03345e+0, 2.04764e-4, 2.00000e+1, 0.00000e+0, 1.70000e+1, 0.00000e+0, 3, -1, Disabled
10/04/2022 13:22:23.256, 10/04/2022 13:22:23.197, 4.11656e+0, 2.04735e-4, 9.84822e+1, 4.89797e-3, 1.92378e+0, 8.49033e-4, 1.15009e+4, 8.73221e+1, 1.49178e+4, 1.22316e+2, 6.77266e+2, 8.28636e-1, 1.94616e+0, 7.92724e-4, 6.85146e+2, 8.34848e-1, 5.06757e+2, 7.02528e-2, 2.25990e+1, 2.64182e-3, 2.71109e+1, 4.45201e-2, 3.71984e+0, 3.80199e-4, 3.03334e+0, 2.60080e-4, 2.00000e+1, 0.00000e+0, 1.70000e+1, 0.00000e+0, 3, -1, Disabled
10/04/2022 13:22:28.225, 10/04/2022 13:22:28.169, 4.11636e+0, 1.32089e-4, 9.84775e+1, 3.16003e-3, 1.92702e+0, 1.38271e-3, 1.17379e+4, 2.34554e+2, 1.50873e+4, 1.26689e+2, 6.80117e+2, 1.57515e+0, 1.94991e+0, 1.63493e-3, 6.88195e+2, 1.65549e+0, 5.06755e+2, 6.65486e-2, 2.26017e+1, 3.13551e-3, 2.71287e+1, 1.55787e-2, 3.71954e+0, 3.30961e-4, 3.03311e+0, 3.79696e-4, 2.00000e+1, 0.00000e+0, 1.70000e+1, 0.00000e+0, 3, -1, Disabled
10/04/2022 13:22:33.220, 10/04/2022 13:22:33.142, 4.11656e+0, 1.48750e-4, 9.84822e+1, 3.55861e-3, 1.92662e+0, 3.93082e-3, 1.17583e+4, 1.60958e+2, 1.49646e+4, 1.51801e+2, 6.82782e+2, 1.46589e+0, 1.94955e+0, 4.13422e-3, 6.90905e+2, 1.46715e+0, 5.06756e+2, 3.74519e-2, 2.26024e+1, 9.54660e-4, 2.71067e+1, 2.22152e-2, 3.71896e+0, 4.75802e-4, 3.03297e+0, 1.31460e-4, 2.00000e+1, 0.00000e+0, 1.70000e+1, 0.00000e+0, 3, -1, Disabled
