SN:3K60180500001583 BD:Jul 23 2018 VC:834b9c1 MD5:48f99e4865ed8b810be1bb0eaaabf929
SysTime,                      Time,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
07/19/2023 13:53:27.448, 07/19/2023 13:53:27.370, 4.12907e+0, 5.38761e-4, 9.27834e+1, 7.94632e-2, 2.02326e+0, 2.78656e-3, 2.14676e+4, 3.08772e+2, 3.38776e+2, 1.42578e+2, 2.06765e+0, 3.47093e-3, 3.46227e+2, 1.45718e+2, 5.08219e+2, 4.62271e-2, 3.23741e+1, 1.20138e-2, 3.23906e+1, 1.69739e-2, 3.33625e+0, 3.95028e-4, 3.49742e+0, 6.42006e-4, 2.00000e+1, 0.00000e+0, 1.71429e+1, 2.26779e+0, 3, -1, Disabled
07/19/2023 13:53:37.393, 07/19/2023 13:53:37.316, 4.12981e+0, 2.86854e-4, 9.28928e+1, 4.23088e-2, 2.03074e+0, 4.20945e-3, 2.22374e+4, 4.01821e+2, 3.95607e+2, 8.89486e-1, 2.07693e+0, 5.02077e-3, 4.04604e+2, 9.57587e-1, 5.08230e+2, 3.86892e-2, 3.23741e+1, 1.60221e-2, 3.23260e+1, 2.44164e-2, 3.33630e+0, 3.27137e-4, 3.49752e+0, 5.01792e-4, 2.00000e+1, 0.00000e+0, 1.80000e+1, 0.00000e+0, 3, -1, Disabled
07/19/2023 13:53:47.333, 07/19/2023 13:53:47.262, 4.13016e+0, 1.09521e-4, 9.29445e+1, 1.61535e-2, 2.03861e+0, 1.48884e-3, 2.33507e+4, 2.64772e+2, 3.94882e+2, 5.02366e-1, 2.08735e+0, 2.01744e-3, 4.04323e+2, 4.36619e-1, 5.08215e+2, 4.18535e-2, 3.23758e+1, 1.22496e-2, 3.22480e+1, 2.57820e-2, 3.33607e+0, 5.39785e-4, 3.49735e+0, 7.16988e-4, 2.00000e+1, 0.00000e+0, 1.80000e+1, 0.00000e+0, 3, -1, Disabled
07/19/2023 13:53:57.269, 07/19/2023 13:53:57.206, 4.12984e+0, 1.83652e-4, 9.28961e+1, 2.70873e-2, 2.04097e+0, 3.22562e-3, 2.39827e+4, 1.82546e+2, 3.92969e+2, 6.85695e-1, 2.09113e+0, 3.46504e-3, 4.02625e+2, 6.62140e-1, 5.08236e+2, 4.35365e-2, 3.23874e+1, 1.13991e-2, 3.21826e+1, 2.40873e-2, 3.33555e+0, 3.55118e-4, 3.49710e+0, 6.79693e-4, 2.00000e+1, 0.00000e+0, 1.80000e+1, 0.00000e+0, 3, -1, Disabled
07/19/2023 13:54:07.210, 07/19/2023 13:54:07.151, 4.13015e+0, 1.70418e-4, 9.29430e+1, 2.51354e-2, 2.04583e+0, 2.61972e-3, 2.44316e+4, 9.04223e+1, 3.91475e+2, 6.69383e-1, 2.09707e+0, 2.75000e-3, 4.01279e+2, 6.70624e-1, 5.08242e+2, 4.65516e-2, 3.23672e+1, 1.08661e-2, 3.21215e+1, 1.94503e-2, 3.33542e+0, 4.34649e-4, 3.49678e+0, 6.19222e-4, 2.00000e+1, 0.00000e+0, 1.80000e+1, 0.00000e+0, 3, -1, Disabled
07/19/2023 13:54:17.179, 07/19/2023 13:54:17.098, 4.13029e+0, 1.68156e-4, 9.29636e+1, 2.48018e-2, 2.04840e+0, 2.35411e-3, 2.43711e+4, 1.28369e+2, 3.94364e+2, 9.79794e-1, 2.09957e+0, 2.50779e-3, 4.04215e+2, 1.02080e+0, 5.08246e+2, 3.92458e-2, 3.23855e+1, 2.76079e-2, 3.20759e+1, 1.66596e-2, 3.33498e+0, 4.47083e-4, 3.49679e+0, 7.24670e-4, 2.00000e+1, 0.00000e+0, 1.80000e+1, 0.00000e+0, 3, -1, Disabled
07/19/2023 13:54:27.104, 07/19/2023 13:54:27.048, 4.13033e+0, 3.06573e-4, 9.29689e+1, 4.52173e-2, 2.04643e+0, 1.93431e-3, 2.40692e+4, 1.16179e+2, 3.92356e+2, 7.88133e-1, 2.09690e+0, 2.00954e-3, 4.02033e+2, 8.29352e-1, 5.08247e+2, 4.29951e-2, 3.23532e+1, 1.17559e-2, 3.20263e+1, 1.41776e-2, 3.33485e+0, 4.12147e-4, 3.49589e+0, 7.09290e-4, 2.00000e+1, 0.00000e+0, 6.30000e+0, 4.11096e+0, 3, -1, Disabled
07/19/2023 13:54:37.052, 07/19/2023 13:54:36.995, 4.13049e+0, 2.19619e-4, 9.29931e+1, 3.23922e-2, 2.03258e+0, 3.80761e-3, 2.33084e+4, 4.05395e+2, 3.90020e+2, 5.44216e-1, 2.08109e+0, 4.70614e-3, 3.99328e+2, 6.98969e-1, 5.08251e+2, 4.03016e-2, 3.23397e+1, 2.19052e-2, 3.19975e+1, 8.10754e-3, 3.33463e+0, 6.02623e-4, 3.49542e+0, 4.81373e-4, 2.00000e+1, 0.00000e+0, 5.00000e+0, 0.00000e+0, 3, -1, Disabled
07/19/2023 13:54:47.021, 07/19/2023 13:54:46.939, 4.13069e+0, 2.84368e-4, 9.30220e+1, 4.19422e-2, 2.02939e+0, 2.63211e-3, 2.33028e+4, 1.38851e+2, 3.91968e+2, 2.50456e+0, 2.07781e+0, 2.75812e-3, 4.01320e+2, 2.59621e+0, 5.08232e+2, 4.87847e-2, 3.23349e+1, 3.95465e-3, 3.19643e+1, 1.24295e-2, 3.33372e+0, 3.55937e-4, 3.49492e+0, 4.84166e-4, 2.00000e+1, 0.00000e+0, 5.00000e+0, 0.00000e+0, 3, -1, Disabled
07/19/2023 13:54:56.947, 07/19/2023 13:54:56.892, 4.13067e+0, 2.22114e-4, 9.30185e+1, 3.27602e-2, 2.03223e+0, 1.87630e-3, 2.33314e+4, 3.10684e+2, 3.93516e+2, 1.03904e+0, 2.08078e+0, 2.33845e-3, 4.02917e+2, 1.17824e+0, 5.08215e+2, 4.43975e-2, 3.23180e+1, 1.09096e-2, 3.19352e+1, 1.32579e-2, 3.33314e+0, 3.56760e-4, 3.49514e+0, 6.08391e-4, 2.00000e+1, 0.00000e+0, 5.00000e+0, 0.00000e+0, 3, -1, Disabled
