labno,Date,UniqueID,Tree_tag,Height,Type,repnumber,comp_start_time,start_time,comp_end_time,Rep_vol_L,surface_area_m2,ChamberID
1,7-18-2023,2 10.5 stem 1,2,10.5,stem,1,11:46:45,11:10:00,11:56:45,0.76,0.0210,C5
2,7-18-2023,2 10.5 stem 2,2,10.5,stem,2,12:00:00,na,12:08:00,0.76,0.0210,C5
3,7-18-2023,2 10.5 leaf 1,2,10.5,leaf,1,12:09:00,na,12:14:00,0.76,0.0210,leaf A
4,7-18-2023,2 10.5 leaf 2,2,10.5,leaf,2,12:27:00,na,12:30:00,0.76,0.0210,leaf A
5,7-18-2023,2 11.7 stem 1,2,11.7,stem,1,12:56:15,na,13:04:00,0.76,0.0210,leaf A
6,7-18-2023,2 11.7 stem 2,2,11.7,stem,2,13:07:00,na,13:14:00,0.76,0.0210,C5
7,7-18-2023,2 11.7 leaf 1,2,11.7,leaf,1,13:15:00,na,13:19:00,0.76,0.0210,C5
8,7-18-2023,2 11.7 leaf 2,2,11.7,leaf,2,13:24:00,na,13:28:15,0.76,0.0210,leaf A
9,7-18-2023,2 11.7 leaf_s 1,2,11.7,leaf_s,1,13:28:30,na,13:31:30,0.76,0.0210,leaf A
10,7-18-2023,2 9.1 branch 1,2,9.1,branch,1,13:52:15,na,13:57:15,0.12,0.0038,Stem A
11,7-18-2023,2 9.1 leaf 1,2,9.1,leaf,1,14:01:30,na,14:06:30,0.76,0.0210,leaf A
12,7-18-2023,2 7 leaf 1,2,7,leaf,1,14:14:30,na,14:18:00,0.76,0.0210,leaf A
13,7-18-2023,2 1.7 stem 1,2,1.7,stem,1,15:18:15,na,15:20:15,0.76,0.0210,C5
14,7-18-2023,2 1.25 stem 1,2,1.25,stem,1,15:21:00,na,15:23:00,0.76,0.0210,C5
15,7-18-2023,2 0.5 stem 1,2,0.5,stem,1,15:24:00,na,15:26:00,0.76,0.0210,C5
16,7-19-2023,4 14.2 leaf 1,4,14.2,leaf,1,10:41:00,10:04:00,10:47:00,0.76,0.0210,leaf A
17,7-19-2023,4 12 leaf 1,4,12,leaf,1,11:21:00,na,11:24:00,0.76,0.0210,leaf A
18,7-19-2023,4 9.1 stem 1,4,9.1,stem,1,12:07:00,na,12:17:00,0.76,0.0210,C5
19,7-19-2023,4 9.1 stem 2,4,9.1,stem,2,12:20:00,na,12:25:00,0.76,0.0210,C5
20,7-19-2023,4 5.6 stem 1,4,5.6,stem,1,12:28:30,na,12:35:30,0.76,0.0210,C5
21,7-19-2023,4 5.6 stem 2,4,5.6,stem,2,12:37:00,na,12:41:30,2.3,0.0446,D2
22,7-19-2023,4 3 stem 1,4,3,stem,1,12:50:00,na,12:53:00,2.3,0.0446,D2
23,7-19-2023,5 2 stem 1,5,2,stem,1,15:28:00,na,15:32:00,2.3,0.0446,S6
24,7-19-2023,5 1 stem 1,5,1,stem,1,15:58:00,na,16:02:00,2.3,0.0446,S6
25,7-19-2023,5 1 stem 2,5,1,stem,2,16:10:30,na,16:15:00,2.3,0.0446,S6
26,7-19-2023,5 0.5 stem 1,5,0.5,stem,1,16:23:30,na,16:28:30,2.3,0.0446,S6
