DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               EtalonTemp                DasTemp                   MPVPosition               solenoid_valves           OutletValve               MeasurementMode           species                   HP_12CH4                  HP_12CH4_dry              HP_13CH4                  HR_13CH4                  Delta_iCH4_Raw            HP_Delta_iCH4_Raw         HP_Delta_iCH4_30s         HP_Delta_iCH4_2min        HP_Delta_iCH4_5min        HR_12CH4                  HR_12CH4_dry              HR_Delta_iCH4_Raw         HR_Delta_iCH4_30s         HR_Delta_iCH4_2min        HR_Delta_iCH4_5min        ChemDetect                H2O                       12CO2                     12CO2_dry                 13CO2                     Delta_Raw_iCO2            Delta_30s_iCO2            Delta_2min_iCO2           Delta_5min_iCO2           peak87_baseave_spec       peak88_baseave            peakheight_5              peak0_spec                ch4_splinemax             peak30_spec               peak_30                   SSIMPressure              PPF_res                   PPF_base_offset           PPF_slope_offset          PPF_shift                 PPF_CH4_conc              PPF_H2O_conc              PPF_C2H6_conc             PPF_C2H4_conc             PPF_NH3_conc              PPF_H2S_conc              
2025-05-13                07:51:14.496              132.36891778              3176.854027               1747122674.496            0                         963                       1.4800018421E+02          4.4989609747E+01          4.4989284427E+01          4.5041007996E+01          4.0910066007E+01          0.0000000000E+00          0.0000000000E+00          3.4455240718E+04          3.0000000000E+00          1.0600000000E+02          2.0305417767E+00          2.0559818378E+00          2.1963705084E-02          2.1645222344E-02          -4.9333436695E+01         -4.9333436695E+01         -4.9037997161E+01         -4.8729460174E+01         -4.9333304782E+01         1.9981431960E+00          2.0312935666E+00          -5.1731666930E+01         -4.8730252960E+01         -4.6641779513E+01         -4.9119590457E+01         0.0000000000E+00          1.0121756158E+00          4.6783519623E+02          4.7634090166E+02          5.3018008097E+00          -9.5160963681E+00         -1.0127684353E+01         -1.0818037124E+01         -1.1065552941E+01         2.8491032602E+02          8.3951858393E+00          2.8105072551E+00          4.6695532907E+00          4.6700472766E+02          6.1742712563E+01          6.1976218590E+01          0.0000000000E+00          1.0846913963E-01          -1.7494852698E+00         1.5963331555E-01          1.3755939881E-04          1.9906992061E+00          1.0154968879E+00          -2.4887332573E-01         3.0448211065E-03          3.2030187727E-02          -9.1689758414E+00         
2025-05-13                07:51:15.776              132.36893260              3176.854382               1747122675.777            0                         963                       1.4799910927E+02          4.4989891052E+01          4.4989311218E+01          4.5041007996E+01          4.0896484375E+01          0.0000000000E+00          0.0000000000E+00          3.4454641846E+04          3.0000000000E+00          1.5000000000E+02          2.0306011031E+00          2.0560430420E+00          2.1982834254E-02          2.1718498557E-02          -4.8533782809E+01         -4.8533782809E+01         -4.8226299351E+01         -4.8769474535E+01         -4.9307739919E+01         1.9813131303E+00          2.0140995750E+00          -4.0398871612E+01         -4.6527095161E+01         -4.6746383671E+01         -4.8997034989E+01         0.0000000000E+00          1.0122191075E+00          4.6783519623E+02          4.7634090166E+02          5.3018008097E+00          -9.5160963681E+00         -1.0127684353E+01         -1.0818037124E+01         -1.1065552941E+01         2.8491032602E+02          8.3951858393E+00          2.8131297303E+00          4.6157660629E+00          4.6706532591E+02          6.1745365559E+01          6.1979223706E+01          0.0000000000E+00          1.0490368305E-01          -1.6725133895E+00         1.2485376014E-01          5.4048721122E-05          2.0059350635E+00          1.0154642795E+00          -5.9514697877E-01         6.6889092225E-03          3.0409451694E-02          -4.3962834246E+00         
2025-05-13                07:51:17.048              132.36894731              3176.854736               1747122677.048            0                         963                       1.4799709725E+02          4.4989891052E+01          4.4989311218E+01          4.5041007996E+01          4.0875000000E+01          0.0000000000E+00          0.0000000000E+00          3.4452164062E+04          3.0000000000E+00          1.0600000000E+02          2.0306011031E+00          2.0560430420E+00          2.1982834254E-02          2.1718498557E-02          -4.8533782809E+01         -4.8533782809E+01         -4.8226299351E+01         -4.8769474535E+01         -4.9307739919E+01         1.9813131303E+00          2.0140995750E+00          -4.0398871612E+01         -4.6527095161E+01         -4.6746383671E+01         -4.8997034989E+01         0.0000000000E+00          1.0122191075E+00          4.6783519623E+02          4.7634090166E+02          5.3018008097E+00          -9.5160963681E+00         -1.0127684353E+01         -1.0818037124E+01         -1.1065552941E+01         2.8491032602E+02          8.3825438359E+00          2.8131297303E+00          4.6157660629E+00          4.6706532591E+02          6.1745365559E+01          6.1979223706E+01          0.0000000000E+00          1.0490368305E-01          -1.6725133895E+00         1.2485376014E-01          5.4048721122E-05          2.0059350635E+00          1.0154642795E+00          -5.9514697877E-01         6.6889092225E-03          3.0409451694E-02          -4.3962834246E+00         
2025-05-13                07:51:17.624              132.36895398              3176.854896               1747122677.624            0                         963                       1.4799644470E+02          4.4989891052E+01          4.4989311218E+01          4.5041007996E+01          4.0875000000E+01          0.0000000000E+00          0.0000000000E+00          3.4451437500E+04          3.0000000000E+00          1.0500000000E+02          2.0306011031E+00          2.0560430420E+00          2.1982834254E-02          2.1718498557E-02          -4.8533782809E+01         -4.8533782809E+01         -4.8226299351E+01         -4.8769474535E+01         -4.9307739919E+01         1.9813131303E+00          2.0140995750E+00          -4.0398871612E+01         -4.6527095161E+01         -4.6746383671E+01         -4.8997034989E+01         0.0000000000E+00          1.0122191075E+00          4.6724639490E+02          4.7574180728E+02          5.2951327300E+00          -9.5160963681E+00         -1.0127684353E+01         -1.0818037124E+01         -1.1065552941E+01         2.8455285852E+02          8.3825438359E+00          2.8131297303E+00          4.6157660629E+00          4.6706532591E+02          6.1745365559E+01          6.1979223706E+01          0.0000000000E+00          1.0490368305E-01          -1.6725133895E+00         1.2485376014E-01          5.4048721122E-05          2.0059350635E+00          1.0154642795E+00          -5.9514697877E-01         6.6889092225E-03          3.0409451694E-02          -4.3962834246E+00         
2025-05-13                07:51:18.193              132.36896057              3176.855054               1747122678.193            0                         963                       1.4800067184E+02          4.4989891052E+01          4.4989311218E+01          4.5041007996E+01          4.0887995050E+01          0.0000000000E+00          0.0000000000E+00          3.4454485045E+04          3.0000000000E+00          1.0600000000E+02          2.0306011031E+00          2.0560430420E+00          2.1982834254E-02          2.1718498557E-02          -4.8533782809E+01         -4.8533782809E+01         -4.8226299351E+01         -4.8769474535E+01         -4.9307739919E+01         1.9813131303E+00          2.0140995750E+00          -4.0398871612E+01         -4.6527095161E+01         -4.6746383671E+01         -4.8997034989E+01         0.0000000000E+00          1.0122191075E+00          4.6724639490E+02          4.7574180728E+02          5.2901962601E+00          -1.0439490396E+01         -1.0186673317E+01         -1.0790207341E+01         -1.1051709300E+01         2.8455285852E+02          8.3793816605E+00          2.8131297303E+00          4.6157660629E+00          4.6706532591E+02          6.1745365559E+01          6.1979223706E+01          0.0000000000E+00          1.0490368305E-01          -1.6725133895E+00         1.2485376014E-01          5.4048721122E-05          2.0059350635E+00          1.0154642795E+00          -5.9514697877E-01         6.6889092225E-03          3.0409451694E-02          -4.3962834246E+00         
2025-05-13                07:51:19.474              132.36897541              3176.855410               1747122679.475            0                         963                       1.4800125291E+02          4.4990753937E+01          4.4989502970E+01          4.5041079903E+01          4.0934895833E+01          0.0000000000E+00          0.0000000000E+00          3.4456100773E+04          3.0000000000E+00          1.5000000000E+02          2.0300400996E+00          2.0554726036E+00          2.2038868697E-02          2.1821318136E-02          -4.5843761163E+01         -4.5843761163E+01         -4.8709183922E+01         -4.8618391084E+01         -4.9223735489E+01         2.0005588404E+00          2.0336652569E+00          -4.5131863784E+01         -4.7352181566E+01         -4.6418278719E+01         -4.8898838005E+01         0.0000000000E+00          1.0121264377E+00          4.6724639490E+02          4.7574180728E+02          5.2901962601E+00          -1.0439490396E+01         -1.0186673317E+01         -1.0790207341E+01         -1.1051709300E+01         2.8455285852E+02          8.3793816605E+00          2.8194655144E+00          4.6504151272E+00          4.6685979498E+02          6.1739712703E+01          6.1973344018E+01          0.0000000000E+00          1.1587110451E-01          -1.7253454881E+00         2.0105960504E-01          1.4006837119E-04          1.9907185699E+00          1.0142560746E+00          -2.8260783569E-01         2.4254909734E-03          2.9319687553E-02          -9.0288346143E+00         
2025-05-13                07:51:20.750              132.36899016              3176.855764               1747122680.750            0                         963                       1.4800095853E+02          4.4990989685E+01          4.4989555359E+01          4.5041099548E+01          4.0875000000E+01          0.0000000000E+00          0.0000000000E+00          3.4457181454E+04          3.0000000000E+00          1.0600000000E+02          2.0300400996E+00          2.0554726036E+00          2.2038868697E-02          2.1821318136E-02          -4.5843761163E+01         -4.5843761163E+01         -4.8709183922E+01         -4.8618391084E+01         -4.9223735489E+01         2.0005588404E+00          2.0336652569E+00          -4.5131863784E+01         -4.7352181566E+01         -4.6418278719E+01         -4.8898838005E+01         0.0000000000E+00          1.0121264377E+00          4.6724639490E+02          4.7574180728E+02          5.2901962601E+00          -1.0439490396E+01         -1.0186673317E+01         -1.0790207341E+01         -1.1051709300E+01         2.8455285852E+02          8.3909814528E+00          2.8194655144E+00          4.6504151272E+00          4.6685979498E+02          6.1739712703E+01          6.1973344018E+01          0.0000000000E+00          1.1587110451E-01          -1.7253454881E+00         2.0105960504E-01          1.4006837119E-04          1.9907185699E+00          1.0142560746E+00          -2.8260783569E-01         2.4254909734E-03          2.9319687553E-02          -9.0288346143E+00         
2025-05-13                07:51:21.336              132.36899696              3176.855927               1747122681.337            0                         963                       1.4799826050E+02          4.4990989685E+01          4.4989555359E+01          4.5041099548E+01          4.0875000000E+01          0.0000000000E+00          0.0000000000E+00          3.4453457031E+04          3.0000000000E+00          1.0500000000E+02          2.0300400996E+00          2.0554726036E+00          2.2038868697E-02          2.1821318136E-02          -4.5843761163E+01         -4.5843761163E+01         -4.8709183922E+01         -4.8618391084E+01         -4.9223735489E+01         2.0005588404E+00          2.0336652569E+00          -4.5131863784E+01         -4.7352181566E+01         -4.6418278719E+01         -4.8898838005E+01         0.0000000000E+00          1.0121264377E+00          4.6699794157E+02          4.7548804397E+02          5.2873744403E+00          -1.0439490396E+01         -1.0186673317E+01         -1.0790207341E+01         -1.1051709300E+01         2.8440201988E+02          8.3909814528E+00          2.8194655144E+00          4.6504151272E+00          4.6685979498E+02          6.1739712703E+01          6.1973344018E+01          0.0000000000E+00          1.1587110451E-01          -1.7253454881E+00         2.0105960504E-01          1.4006837119E-04          1.9907185699E+00          1.0142560746E+00          -2.8260783569E-01         2.4254909734E-03          2.9319687553E-02          -9.0288346143E+00         
2025-05-13                07:51:21.907              132.36900356              3176.856086               1747122681.908            0                         963                       1.4799846581E+02          4.4990989685E+01          4.4989555359E+01          4.5041099548E+01          4.0875000000E+01          0.0000000000E+00          0.0000000000E+00          3.4453410311E+04          3.0000000000E+00          1.0600000000E+02          2.0300400996E+00          2.0554726036E+00          2.2038868697E-02          2.1821318136E-02          -4.5843761163E+01         -4.5843761163E+01         -4.8709183922E+01         -4.8618391084E+01         -4.9223735489E+01         2.0005588404E+00          2.0336652569E+00          -4.5131863784E+01         -4.7352181566E+01         -4.6418278719E+01         -4.8898838005E+01         0.0000000000E+00          1.0121264377E+00          4.6699794157E+02          4.7548804397E+02          5.2929640678E+00          -9.3933615985E+00         -1.0022642808E+01         -1.0752937091E+01         -1.1029492750E+01         2.8440201988E+02          8.3799057974E+00          2.8194655144E+00          4.6504151272E+00          4.6685979498E+02          6.1739712703E+01          6.1973344018E+01          0.0000000000E+00          1.1587110451E-01          -1.7253454881E+00         2.0105960504E-01          1.4006837119E-04          1.9907185699E+00          1.0142560746E+00          -2.8260783569E-01         2.4254909734E-03          2.9319687553E-02          -9.0288346143E+00         
2025-05-13                07:51:23.180              132.36901830              3176.856439               1747122683.181            0                         963                       1.4800043386E+02          4.4990989685E+01          4.4989555359E+01          4.5041099548E+01          4.0875000000E+01          0.0000000000E+00          0.0000000000E+00          3.4454513411E+04          3.0000000000E+00          1.5000000000E+02          2.0307064694E+00          2.0561744813E+00          2.1910552451E-02          2.1656986032E-02          -5.1722922614E+01         -5.1722922614E+01         -4.9315463667E+01         -4.8835955107E+01         -4.9355263093E+01         1.9852815659E+00          2.0181320003E+00          -4.5028661960E+01         -4.6594685624E+01         -4.6896463865E+01         -4.8876891939E+01         0.0000000000E+00          1.0131668274E+00          4.6699794157E+02          4.7548804397E+02          5.2929640678E+00          -9.3933615985E+00         -1.0022642808E+01         -1.0752937091E+01         -1.1029492750E+01         2.8440201988E+02          8.3799057974E+00          2.8037071776E+00          4.6236188871E+00          4.6699929540E+02          6.1803176474E+01          6.2036983212E+01          0.0000000000E+00          1.2156834078E-01          -1.7277791748E+00         1.9526716270E-01          1.5715899803E-04          1.9985199100E+00          1.0150284541E+00          -3.2662492641E-01         2.4609806563E-03          3.2002610558E-02          -7.4879151059E+00         
